       t(ticks) ;         id_viat ;          destin ;      t_estacion ;          t_vida ;          observ
            571 ;              96 ;               O ;              10 ;               0 ;         entrada
            581 ;              88 ;               N ;              40 ;              40 ;           saida
            581 ;              96 ;               O ;              10 ;              10 ;           saida
            581 ;              98 ;               E ;              80 ;               0 ;         entrada
            591 ;              78 ;               O ;              80 ;              80 ;           saida
            591 ;              81 ;               O ;              60 ;              60 ;           saida
            591 ;              99 ;               S ;             100 ;               0 ;         entrada
            601 ;              77 ;               S ;              90 ;              90 ;           saida
            601 ;              92 ;               E ;              60 ;              60 ;           saida
            601 ;             100 ;               E ;              70 ;               0 ;         entrada
            601 ;             101 ;               E ;              50 ;               0 ;         entrada
            611 ;              84 ;               N ;              70 ;              70 ;           saida
            611 ;              93 ;               N ;              50 ;              50 ;           saida
            611 ;              95 ;               S ;              50 ;              50 ;           saida
            611 ;              97 ;               N ;              40 ;              40 ;           saida
            611 ;             102 ;               S ;             100 ;               0 ;         entrada
            611 ;             103 ;               E ;              70 ;               0 ;         entrada
            611 ;             104 ;               E ;              50 ;               0 ;         entrada
            611 ;             105 ;               E ;              10 ;               0 ;         entrada
            611 ;             106 ;               O ;              80 ;               0 ;         entrada
            611 ;             108 ;               O ;              80 ;               0 ;         entrada
            611 ;             107 ;               S ;              30 ;               0 ;         entrada
            621 ;              82 ;               N ;              90 ;              90 ;           saida
            621 ;              86 ;               N ;              80 ;              80 ;           saida
            621 ;             105 ;               E ;              10 ;              10 ;           saida
            621 ;             109 ;               S ;              70 ;               0 ;         entrada
            631 ;              89 ;               N ;              90 ;              90 ;           saida
            631 ;              91 ;               S ;              90 ;              90 ;           saida
            631 ;              94 ;               E ;              70 ;              70 ;           saida
            641 ;              83 ;               S ;             100 ;             100 ;           saida
            641 ;             107 ;               S ;              30 ;              30 ;           saida
            641 ;             110 ;               O ;              60 ;               0 ;         entrada
            651 ;             101 ;               E ;              50 ;              50 ;           saida
            651 ;             111 ;               N ;              70 ;               0 ;         entrada
            661 ;              98 ;               E ;              80 ;              80 ;           saida
